,0,1,2,3
62,Valle da Fonte 2017 Reserva Terroir Blend Red (Douro),93,This is a blend of old vines of five of the major ...,$20
63,Herdade do Esporão 2014 Private Selection Red (Alentejo),93,"This impressive wine is built by rich tannins, ripe dark fruit and ...",$65
64,Monte da Ravasqueira 2017 Reserva da Familia Red (Alentejano),93,"This is a luscious wine, packed with black fruits and rich tannins. ...",$20
65,Casca Wines 2014 Cabo da Roca Centenary Vines Baga (Bairrada),93,"After good aging, this old-vine wine is softening, the Baga's usual tannins ...",$88
66,Anselmo Mendes 2015 Quinta de Silvares Red (Dão),93,"This is a new venture for this producer, who is based in ...",$18
67,Sogrape 2016 Quinta dos Carvalhais Reserva Red (Dão),93,"This is a dense, richly textured wine, wood aged and blending Touriga ...",$45
68,Palato do Côa 2015 Palato Reserva do Côa Tinto Red (Douro),93,"Aged for 18 months in wood, this is now a rich, silky-textured ...",$28
69,Borges 2015 Grande Reserva Red (Douro),92,"Apart from the arm-breaking heavy bottle, this is a very fine wine ...",$60
70,Casa Relvas 2017 Herdade de São Miguel Touriga Nacional (Alentejano),92,"Aged for nine months in barrel, this wine has brought out the ...",$25
71,Sogrape 2017 Quinta dos Carvalhais Touriga Nacional (Dão),92,This is a solidly structured wine that has big tannins in place. ...,$35
72,Poças 2017 Vale de Cavalos Red (Douro),92,"From grapes grown in the eastern Douro Superior region, this wine is ...",$30
73,Casa Relvas 2017 Herdade de São Miguel Trincadeira (Alentejano),92,The Trincadeira (aka Tinta Amarela) is particularly at home in the hot ...,$25
74,Casca Wines 2017 Bote Sailing Boat Reserva Red (Douro),91,"This is a firm, structured and rich wine. Its solid tannins support ...",$15
75,Palato do Côa 2016 Palato Touriga Nacional (Douro),91,"Produced with grapes from Quinta da Saudade in the Douro Superior, this ...",$36
76,Herdade do Esporão 2016 Esporão Reserva Red (Alentejo),91,"This is a full-bodied, rich wine from an estate with a 750-year ...",$25
77,Parras Vinhos 2018 Cavalo Branco Vinhas Velhas Red (Tejo),91,A blend of grapes including Touriga Nacional and Alicante Bouschet gives a ...,$12
78,Santos & Seixo 2016 Santos da Casa Reserva Red (Alentejano),91,The warm tones of the Alentejo are very evident in this wine ...,$18
79,Duorum 2017 S&R Red (Douro),90,A partnership between winemakers José Maria Soares Franco and João Portugal Ramos ...,$12
80,Casa Santos Lima 2016 Palha Canas Reserva Red (Lisboa),90,"This rich, wood-aged wine is generous and finely balanced. Its soft tannins ...",$30
81,Casca Wines 2017 1808 Collection Reserva Red (Lisboa),90,"This ripe, rich blend of Touriga Nacional and Cabernet Sauvignon is full, ...",$18
82,Palato do Côa 2016 Palato Colheita Tinto Red (Douro),90,Some wood aging has brought out the ripe black fruits of this ...,$21
83,Cortes de Cima 2015 Touriga Nacional (Alentejano),90,"Ripe with attractive perfumes and generous tannins, the wine is well balanced. ...",$65
